Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
26	-46.475	5.604258	-22.0	-50.0	50.0	-20.056751	0.0042072185	-20.033903	-20.066414	324000	-1.5366822e-08	120.82086	-0.0049900683	-0.12625504	0.75543237	0.0036071104	0.044666667	79.0	484.6802418231964
27	-45.625	6.8496504	-12.0	-50.0	50.0	-20.32857	0.0040870733	-20.304047	-20.337555	336000	-2.7008355e-08	120.48358	-0.0036087658	-0.02632904	0.7466433	0.0033972994	0.032833334	79.0	501.862585067749
28	-45.025	6.7062936	-14.0	-50.0	50.0	-20.21217	0.00522601	-20.188496	-20.224483	348000	-2.3515895e-08	120.165794	-0.006191944	-0.17718887	0.73433405	0.0023711089	0.048833333	79.0	519.0441670417786
29	-44.558334	7.017592	-10.0	-50.0	50.0	-19.87302	0.007726495	-19.837902	-19.889923	360000	-1.4901161e-08	118.93445	-0.0053014113	-0.24761963	0.72308975	0.0049885027	0.048416667	79.0	536.4323024749756
30	-44.820835	6.949609	-7.0	-50.0	50.0	-19.3967	0.02399165	-19.283825	-19.451437	372000	1.1175871e-08	117.59958	-0.0045547066	-0.33621597	0.72378916	0.0059065185	0.045416668	79.0	553.7506666183472
31	-43.229168	7.8904996	-12.0	-50.0	50.0	-19.402267	0.0765282	-19.044813	-19.578648	384000	9.429641e-09	116.474495	-0.0056628035	-7.326748	0.71901	0.005118644	0.057916667	79.0	571.2301144599915
32	-41.991665	8.927482	-8.0	-50.0	50.0	-17.921818	1.8240167	-4.243885	-20.016584	396000	-2.7008355e-08	108.516815	-0.00493684	-19.18877	0.7128233	0.00430248	0.046583332	79.0	588.5597994327545
33	-41.358334	8.430397	-10.0	-50.0	50.0	-17.338427	4.5807734	5.826719	-21.80445	408000	-1.0244548e-08	81.91503	-0.0070082014	-4.9973373	0.704352	0.008269295	0.080416664	79.0	606.5593252182007
34	-40.158333	8.988878	-9.0	-50.0	50.0	-16.994347	5.162515	-1.3076744	-23.084368	420000	-7.450581e-09	74.14441	-0.0060966252	-2.2848015	0.7025287	0.006565624	0.06408334	79.0	623.8016581535339
35	-37.329166	9.99062	-6.0	-50.0	50.0	-16.877138	5.588562	-3.7049043	-23.775951	432000	0.0	70.06352	-0.0075102	-2.9770393	0.6926748	0.0054083955	0.07758333	79.0	641.1083300113678
36	-37.416668	10.876261	-7.0	-50.0	50.0	-16.330263	5.6244836	-1.5262815	-24.18544	444000	5.5879354e-09	69.562454	-0.00596425	-4.7089005	0.67955023	0.0044206553	0.0435	79.0	658.306134223938
37	-35.908333	11.03328	-8.0	-50.0	50.0	-15.516362	5.7838135	-2.5107787	-25.239288	456000	2.0489097e-08	63.806877	-0.00745536	-3.3747578	0.6743581	0.0057194317	0.07416667	79.0	676.0565960407257
38	-35.45	12.354385	-5.0	-50.0	50.0	-15.608495	5.733897	-1.1214702	-26.269753	468000	-3.7252903e-09	64.104645	-0.0070891343	-3.7086945	0.66491115	0.0064477846	0.07491666	79.0	694.3645856380463
39	-33.141666	12.230628	-4.0	-50.0	50.0	-14.486409	6.2523227	-1.2150735	-27.334694	480000	-4.656613e-09	56.849262	-0.0017245039	-2.0489979	0.6523324	0.0069107995	0.054083332	79.0	711.7913508415222
40	-33.666668	12.671709	-5.0	-50.0	50.0	-14.279517	6.4050646	-0.31657147	-28.038414	492000	-7.916242e-09	55.16428	-0.0054634144	-3.5829277	0.6482419	0.0069392016	0.06025	79.0	729.9602763652802
41	-33.266666	12.953592	-5.0	-50.0	50.0	-14.637036	6.952456	8.543687	-28.753643	504000	-2.7939677e-09	57.387672	-0.007876571	-2.8196507	0.64238864	0.0072731026	0.07508333	79.0	748.0030107498169
42	-31.370832	13.9427395	-4.0	-50.0	50.0	-13.6436825	7.255567	2.03859	-29.366505	516000	2.7939677e-09	46.221107	-0.009018555	-1.4560795	0.63088006	0.0071465936	0.09925	79.0	765.0822522640228
43	-30.333334	15.182958	-1.0	-50.0	50.0	-13.531258	7.298516	4.997272	-30.036789	528000	-1.8626451e-08	47.270782	-0.0074435025	-3.8489323	0.62210107	0.008302919	0.069583334	79.0	783.4319875240326
44	-30.045834	14.641336	-3.0	-50.0	50.0	-14.22445	8.5409	2.7879763	-30.59498	540000	-8.381903e-09	48.34603	-0.0069387686	-2.984398	0.61885613	0.0105825355	0.09966667	79.0	801.5140869617462
45	-28.075	15.375121	-2.0	-50.0	50.0	-12.59637	8.22519	0.8253192	-30.896738	552000	-7.450581e-09	46.269638	-0.006218478	-3.141344	0.6092635	0.006884213	0.07441667	79.0	819.2021338939667
46	-27.6875	15.743459	-2.0	-50.0	50.0	-12.388224	8.458604	6.0499725	-31.18579	564000	-1.1175871e-08	38.75006	-0.0051118117	-1.2939835	0.59796774	0.006107376	0.07066667	79.0	836.6852161884308
47	-26.645834	16.204796	-1.0	-50.0	50.0	-11.465963	8.306357	1.8434306	-31.60247	576000	-1.4901161e-08	46.061203	-0.006552469	-1.7757359	0.590353	0.0064671505	0.07975	79.0	854.8090612888336
48	-24.954166	16.586452	-2.0	-50.0	50.0	-11.155451	8.260926	0.3102159	-31.99217	588000	-1.3038516e-08	38.777763	-0.0040295226	-3.581686	0.5814753	0.0038393592	0.0255	79.0	872.1711428165436
49	-22.85	15.882196	-2.0	-50.0	50.0	-10.850599	8.900935	2.3941352	-32.34511	600000	-1.4901161e-08	40.25394	-0.0047541186	-4.35421	0.57288516	0.0043948675	0.062	79.0	889.8348226547241
50	-24.775	16.164757	-2.0	-50.0	50.0	-11.306599	9.137886	4.479855	-32.693916	612000	1.21071935e-08	36.77681	-0.0054380894	-2.2184525	0.56849617	0.0077658473	0.073	79.0	907.3025760650635
51	-24.5625	15.858628	-2.0	-50.0	50.0	-10.590676	8.997138	0.44396746	-33.037617	624000	-1.8626451e-09	34.64881	-0.0066393493	-1.786952	0.56365407	0.0069981613	0.07108334	79.0	925.1466374397278
52	-23.445833	16.657991	-1.0	-50.0	50.0	-11.39272	8.73278	1.0108256	-33.26052	636000	7.450581e-09	41.02764	-0.003475301	-3.9014702	0.55861765	0.004611918	0.044249997	79.0	942.1470403671265
53	-23.629168	16.58438	0.0	-49.0	50.0	-10.428895	9.125099	0.4389127	-33.403458	648000	9.313226e-09	34.440964	0.06992176	-0.7940903	0.5507644	0.08736133	0.6364167	3.0	955.8611562252045
54	-24.8375	15.880368	-2.0	-48.0	50.0	-10.375457	9.200997	1.2641076	-33.454544	660000	7.450581e-09	39.290596	0.07374905	-2.0088692	0.55091596	0.090255775	0.63158333	1.0	969.4128592014313
55	-30.379168	13.293873	-6.0	-50.0	50.0	-11.98725	8.700846	0.19159621	-33.789913	672000	-2.5844201e-08	49.29831	0.059626117	-5.0372696	0.5509788	0.11414662	0.6678333	2.0	982.8019843101501
56	-24.333334	16.303288	0.0	-50.0	50.0	-12.838264	7.708288	1.021095	-34.163284	684000	-2.9802322e-08	44.386604	0.1146257	-6.422188	0.5510465	0.1934835	0.7556667	1.0	997.0615973472595
57	-24.25	15.736238	-1.0	-50.0	50.0	-11.021103	9.277161	1.9152375	-34.0678	696000	6.519258e-09	34.333282	0.09421305	-1.5819302	0.5511078	0.14045304	0.7140833	1.0	1010.3439316749573
58	-30.954166	12.525057	-6.0	-50.0	50.0	-11.124177	9.160257	-0.5132945	-33.816307	708000	-1.7695129e-08	52.556232	0.042203672	-13.58419	0.551131	0.09503708	0.6433333	2.0	1024.4185152053833
59	-24.766666	15.137555	0.0	-49.0	50.0	-14.224586	8.138897	-2.0204327	-34.10505	720000	-3.7252903e-09	50.558357	0.11638236	-15.687445	0.5511275	0.22978279	0.77325	1.0	1037.9050855636597
60	-24.008333	15.734514	-2.0	-50.0	50.0	-10.912002	8.036897	-1.5331078	-33.81866	732000	-8.381903e-09	38.980347	0.10889982	-3.0557632	0.55106676	0.16953245	0.729	1.0	1051.1099903583527
61	-28.9125	14.562389	-3.0	-50.0	50.0	-11.458327	8.867758	1.1016505	-33.85644	744000	-1.1175871e-08	48.482246	0.09219249	-5.257908	0.5509916	0.18824607	0.7424167	2.0	1064.802922487259
62	-26.391666	16.84676	-1.0	-50.0	50.0	-13.366806	8.679432	-1.1070435	-34.231075	756000	1.0477379e-08	40.633736	0.1875101	-7.7930126	0.5508107	0.41387418	0.8443333	1.0	1078.6259529590607
63	-28.991667	14.627597	-3.0	-50.0	50.0	-10.4889765	9.066873	1.5375956	-33.868656	768000	1.7462298e-08	46.539505	0.14231455	-7.999588	0.5506971	0.18955477	0.75374997	1.0	1092.477375984192
64	-39.279167	9.162946	-13.0	-50.0	50.0	-12.944083	8.888323	-2.1270542	-34.1587	780000	-1.4901161e-08	96.81648	0.06550501	-39.522526	0.5505596	0.11895615	0.689	2.0	1106.4430932998657
65	-30.454166	13.451068	-5.0	-50.0	50.0	-18.306778	6.649419	-1.0894884	-35.43171	792000	-5.5879354e-09	69.018	0.16985525	-26.183977	0.55039024	0.37922367	0.829	1.0	1120.3327372074127
66	-21.841667	15.864266	0.0	-50.0	50.0	-13.8758545	8.062602	0.088532686	-34.51531	804000	-4.7730282e-08	50.199356	0.15924989	-18.1888	0.55034035	0.31020993	0.81175	1.0	1133.9890825748444
67	-28.408333	13.848283	-3.0	-50.0	50.0	-10.88375	8.886909	5.408494	-33.207806	816000	1.8626451e-09	54.08895	0.112380154	-9.74148	0.5503016	0.16034004	0.7211667	1.0	1147.0716512203217
68	-41.0625	7.8528295	-16.0	-50.0	50.0	-13.11367	7.951769	-1.6294291	-34.696556	828000	6.798655e-08	103.80893	0.060028914	-42.6728	0.55025136	0.09602292	0.6509167	2.0	1161.0678272247314
69	-32.0625	13.070652	-4.0	-50.0	50.0	-17.00976	6.453185	-2.2575154	-35.836327	840000	-3.7252903e-09	68.35184	0.1749633	-20.585958	0.5501642	0.41889107	0.83625	1.0	1175.7066657543182
70	-23.5875	16.510624	0.0	-50.0	50.0	-14.105414	7.1573987	-1.1114504	-34.02253	852000	1.3038516e-08	59.71428	0.16976598	-27.922312	0.5501165	0.3371033	0.8105	1.0	1190.5203251838684
71	-31.316668	14.293345	-2.0	-50.0	50.0	-10.035128	8.771814	1.6451312	-32.802074	864000	2.2584572e-08	60.30249	0.11388905	-19.378426	0.550064	0.12556984	0.701	1.0	1204.8675673007965
